# i = 1	j = 17
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.428  0.001  -0.185  0.111  -0.132
 4.95  -0.435  0.004  -0.111  0.037  -0.041
 4.90  -0.438  0.005  -0.333  0.185  -0.247
 4.85  -0.444  0.001  0.037  -0.037  0.036
 4.80  -0.449  0.004  0.333  -0.037  0.025
 4.75  -0.455  0.004  -0.259  -0.037  0.047
 4.70  -0.456  0.002  0.037  -0.111  0.107
 4.65  -0.467  0.003  0.111  0.185  -0.165
 4.60  -0.471  0.003  0.037  0.111  -0.107
 4.55  -0.477  0.001  -0.481  -0.037  0.055
 4.50  -0.482  0.005  0.037  -0.037  0.036
 4.45  -0.491  0.001  -0.556  0.481  -0.749
 4.40  -0.494  0.005  0.185  0.259  -0.211
 4.35  -0.507  0.005  0.037  -0.259  0.250
 4.30  -0.508  0.000  0.185  0.111  -0.091
 4.25  -0.521  0.001  0.185  -0.185  0.151
 4.20  -0.525  0.004  0.333  0.111  -0.074
 4.15  -0.536  0.007  -0.111  0.111  -0.123
 4.10  -0.540  0.002  -0.407  -0.111  0.156
 4.05  -0.550  0.004  -0.111  -0.407  0.453
 4.00  -0.557  0.002  -0.111  0.111  -0.123
 3.95  -0.566  0.001  0.185  0.037  -0.030
 3.90  -0.574  0.004  0.556  -0.111  0.049
 3.85  -0.586  0.007  -0.037  -0.037  0.038
 3.80  -0.593  0.002  0.481  -0.185  0.096
 3.75  -0.604  0.004  -0.259  0.259  -0.326
 3.70  -0.612  0.000  0.111  0.037  -0.033
 3.65  -0.628  0.003  0.259  -0.111  0.082
 3.60  -0.636  0.006  0.333  0.037  -0.025
 3.55  -0.645  0.005  -0.481  0.333  -0.494
 3.50  -0.661  0.008  0.259  0.037  -0.027
 3.45  -0.673  0.006  -0.037  0.259  -0.269
 3.40  -0.686  0.018  0.037  -0.111  0.107
 3.35  -0.701  0.005  0.407  -0.185  0.110
 3.30  -0.714  0.005  0.259  -0.185  0.137
 3.25  -0.729  0.004  0.333  -0.333  0.222
 3.20  -0.747  0.007  -0.259  -0.037  0.047
 3.15  -0.758  0.016  -0.111  -0.333  0.370
 3.10  -0.784  0.001  0.556  0.111  -0.049
 3.05  -0.796  0.011  0.333  -0.333  0.222
 3.00  -0.816  0.012  -0.185  0.111  -0.132
 2.95  -0.841  0.007  -0.259  -0.259  0.326
 2.90  -0.865  0.026  0.630  0.259  -0.096
 2.85  -0.885  0.020  -0.407  0.185  -0.261
 2.80  -0.899  0.001  -0.407  0.111  -0.156
 2.75  -0.933  0.009  -0.259  0.111  -0.140
 2.70  -0.968  0.007  0.111  0.259  -0.230
 2.65  -0.989  0.024  0.259  0.037  -0.027
 2.60  -1.025  0.039  -0.185  0.185  -0.219
 2.55  -1.089  0.244  0.481  0.037  -0.019
 2.50  -1.116  0.076  -0.259  0.333  -0.420
 2.45  -1.176  0.206  0.481  0.556  -0.288
 2.40  -1.229  0.404  -0.556  0.333  -0.519
 2.35  -1.313  0.164  0.556  0.407  -0.181
 2.30  -1.379  0.548  -0.481  0.037  -0.055
 2.25  -1.472  0.733  -0.778  0.407  -0.724
 2.20  -1.562  0.810  -0.852  -0.111  0.206
 2.15  -1.616  0.845  -1.000  0.778  -1.556
 2.10  -1.661  0.869  -0.778  0.704  -1.251
 2.05  -1.711  0.894  -1.000  1.000  -2.000
 2.00  -1.744  0.910  -0.778  0.704  -1.251
 1.95  -1.783  0.929  -1.000  0.926  -1.852
 1.90  -1.812  0.940  -0.778  0.704  -1.251
 1.85  -1.840  0.950  -0.926  0.926  -1.783
 1.80  -1.858  0.956  -1.000  1.000  -2.000
 1.75  -1.883  0.965  -0.926  0.926  -1.783
 1.70  -1.898  0.970  -1.000  0.926  -1.852
 1.65  -1.912  0.975  -0.852  0.630  -1.166
 1.60  -1.929  0.980  -1.000  1.000  -2.000
 1.55  -1.940  0.983  -1.000  1.000  -2.000
 1.50  -1.952  0.987  -1.000  1.000  -2.000
 1.45  -1.960  0.989  -1.000  1.000  -2.000
 1.40  -1.967  0.991  -1.000  1.000  -2.000
 1.35  -1.975  0.993  -1.000  1.000  -2.000
 1.30  -1.981  0.995  -1.000  1.000  -2.000
 1.25  -1.985  0.996  -1.000  1.000  -2.000
 1.20  -1.989  0.997  -1.000  1.000  -2.000
 1.15  -1.992  0.998  -1.000  1.000  -2.000
 1.10  -1.993  0.998  -1.000  1.000  -2.000
 1.05  -1.996  0.999  -0.926  0.926  -1.783
 1.00  -1.997  0.999  -1.000  1.000  -2.000
 0.95  -1.998  1.000  -1.000  1.000  -2.000
 0.90  -1.999  1.000  -1.000  1.000  -2.000
 0.85  -1.999  1.000  -1.000  1.000  -2.000
 0.80  -2.000  1.000  -1.000  1.000  -2.000
 0.75  -2.000  1.000  -1.000  1.000  -2.000
 0.70  -2.000  1.000  -1.000  1.000  -2.000
 0.65  -2.000  1.000  -1.000  1.000  -2.000
 0.60  -2.000  1.000  -1.000  1.000  -2.000
 0.55  -2.000  1.000  -1.000  1.000  -2.000
 0.50  -2.000  1.000  -1.000  1.000  -2.000
