# T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
# ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
 5.00  -0.262   0.002   0.007   0.011   0.215   0.001   0.042  -0.014  -0.014
 4.99  -0.271   0.001   0.002   0.004   0.211   0.001   0.014   0.084   0.026
 4.98  -0.216   0.003  -0.011   0.004   0.218   0.002  -0.073  -0.029   0.153
 4.97  -0.298   0.002   0.004   0.007   0.210   0.002   0.028   0.000   0.007
 4.96  -0.268   0.002   0.007   0.002   0.221   0.002   0.044  -0.074  -0.012
 4.95  -0.162   0.002  -0.013   0.002   0.209   0.001  -0.084   0.028   0.164
 4.94  -0.249   0.001   0.016  -0.002   0.213   0.001   0.101   0.043  -0.095
 4.93  -0.246   0.001   0.011   0.011   0.217   0.001   0.073   0.101  -0.054
 4.92  -0.212   0.001   0.009   0.000   0.218   0.003   0.059  -0.015  -0.032
 4.91  -0.228   0.000   0.000   0.002   0.222   0.001   0.000   0.059   0.049
 4.90  -0.203   0.000   0.011   0.013   0.214   0.002   0.073   0.029  -0.054
 4.89  -0.213   0.003  -0.004   0.009   0.216   0.001  -0.030   0.014   0.093
 4.88  -0.267   0.002   0.002   0.009   0.216   0.001   0.015   0.000   0.028
 4.87  -0.268   0.001   0.002   0.024   0.224   0.002   0.015   0.045   0.030
 4.86  -0.245   0.001   0.000   0.011   0.223   0.003   0.000   0.030   0.053
 4.85  -0.236   0.000   0.011   0.002   0.214   0.001   0.072  -0.071  -0.055
 4.84  -0.278   0.002   0.007   0.009   0.222   0.001   0.044   0.030  -0.012
 4.83  -0.206   0.002   0.013   0.004   0.223   0.002   0.091   0.045  -0.075
 4.82  -0.232   0.002  -0.007   0.011   0.224   0.001  -0.044   0.015   0.113
 4.81  -0.229   0.002   0.016   0.002   0.219   0.002   0.105   0.015  -0.097
 4.80  -0.236   0.000   0.009   0.013   0.229   0.002   0.060   0.015  -0.032
 4.79  -0.140   0.003   0.000   0.020   0.226   0.001   0.000   0.000   0.051
 4.78  -0.213   0.001  -0.009   0.009   0.224   0.002  -0.059   0.015   0.136
 4.77  -0.211   0.000   0.007   0.013   0.230   0.002   0.045  -0.031  -0.010
 4.76  -0.208   0.002   0.004   0.016   0.218   0.001   0.030   0.058   0.008
 4.75  -0.238   0.001  -0.004   0.013   0.221   0.001  -0.031  -0.074   0.097
 4.74  -0.287   0.001   0.000  -0.002   0.222   0.002   0.000  -0.030   0.052
 4.73  -0.162   0.001   0.009   0.013   0.227   0.000   0.058   0.045  -0.032
 4.72  -0.241   0.002   0.009   0.002   0.227   0.002   0.059  -0.091  -0.032
 4.71  -0.250   0.003   0.000   0.007   0.229   0.001   0.000   0.122   0.054
 4.70  -0.192   0.002   0.000   0.009   0.232   0.002   0.000  -0.046   0.057
 4.69  -0.160   0.004   0.002   0.009   0.229   0.001   0.015   0.061   0.032
 4.68  -0.263   0.000   0.004  -0.000   0.231   0.003   0.032   0.046   0.013
 4.67  -0.236   0.003  -0.007  -0.000   0.230   0.001  -0.046  -0.153   0.120
 4.66  -0.228   0.001   0.000   0.004   0.235   0.001   0.000   0.016   0.056
 4.65  -0.255   0.002  -0.011   0.009   0.230   0.002  -0.077   0.000   0.163
 4.64  -0.212   0.003   0.007  -0.007   0.231   0.002   0.048  -0.015  -0.011
 4.63  -0.237   0.001   0.000   0.009   0.237   0.000   0.000  -0.079   0.057
 4.62  -0.249   0.001   0.000   0.007   0.233   0.002   0.000   0.000   0.057
 4.61  -0.211   0.001  -0.002   0.013   0.231   0.002  -0.015  -0.031   0.077
 4.60  -0.255   0.001   0.009   0.013   0.236   0.001   0.066   0.047  -0.034
 4.59  -0.209   0.000  -0.007   0.002   0.239   0.001  -0.048  -0.080   0.126
 4.58  -0.182   0.000   0.000   0.011   0.237   0.001   0.000  -0.063   0.058
 4.57  -0.251   0.004  -0.002   0.007   0.240   0.001  -0.015  -0.016   0.077
 4.56  -0.213   0.004   0.000   0.011   0.231   0.002   0.000   0.062   0.056
 4.55  -0.216   0.003   0.007  -0.002   0.241   0.001   0.048  -0.016  -0.009
 4.54  -0.292   0.001   0.004   0.018   0.249   0.002   0.033   0.017   0.017
 4.53  -0.200   0.001   0.007   0.009   0.239   0.002   0.048  -0.032  -0.009
 4.52  -0.246   0.001   0.009   0.013   0.250   0.001   0.065  -0.017  -0.030
 4.51  -0.248   0.000   0.009  -0.002   0.233   0.002   0.065   0.031  -0.033
 4.50  -0.249   0.000   0.007   0.002   0.241   0.003   0.049   0.145  -0.007
 4.49  -0.279   0.005  -0.009   0.009   0.248   0.002  -0.067  -0.116   0.158
 4.48  -0.317   0.004  -0.007   0.013   0.238   0.002  -0.048   0.063   0.127
 4.47  -0.286   0.008  -0.009   0.007   0.239   0.002  -0.065   0.032   0.153
 4.46  -0.241   0.005   0.000   0.004   0.242   0.001   0.000  -0.048   0.058
 4.45  -0.254   0.001   0.004   0.018   0.245   0.002   0.032   0.049   0.015
 4.44  -0.227   0.001   0.009   0.022   0.247   0.002   0.066   0.016  -0.030
 4.43  -0.235   0.006  -0.009   0.018   0.245   0.003  -0.066  -0.082   0.157
 4.42  -0.274   0.001  -0.011   0.007   0.248   0.000  -0.082   0.050   0.177
 4.41  -0.265   0.008   0.002   0.016   0.253   0.002   0.017   0.051   0.041
 4.40  -0.189   0.007  -0.004   0.011   0.255   0.001  -0.034   0.068   0.114
 4.39  -0.298   0.003  -0.004   0.007   0.249   0.002  -0.034  -0.066   0.113
 4.38  -0.232   0.002  -0.009   0.009   0.248   0.002  -0.068  -0.083   0.161
 4.37  -0.280   0.004   0.022   0.000   0.248   0.002   0.167  -0.050  -0.172
 4.36  -0.200   0.002  -0.009   0.022   0.247   0.000  -0.066  -0.082   0.154
 4.35  -0.234   0.003   0.011   0.013   0.253   0.002   0.085   0.034  -0.053
 4.34  -0.251   0.001   0.004   0.013   0.244   0.001   0.033  -0.016   0.014
 4.33  -0.322   0.003  -0.007   0.004   0.256   0.002  -0.051   0.000   0.139
 4.32  -0.291   0.004  -0.009  -0.004   0.256   0.003  -0.069   0.017   0.165
 4.31  -0.266   0.001  -0.002   0.011   0.264   0.002  -0.017   0.088   0.091
 4.30  -0.263   0.003  -0.002   0.004   0.253   0.002  -0.017   0.034   0.093
 4.29  -0.295   0.003   0.002  -0.000   0.253   0.001   0.017   0.034   0.041
 4.28  -0.348   0.003   0.000  -0.004   0.254   0.003   0.000  -0.119   0.068
 4.27  -0.255   0.002  -0.004   0.011   0.256   0.002  -0.034   0.068   0.115
 4.26  -0.283   0.003   0.004   0.004   0.256   0.002   0.034  -0.085   0.019
 4.25  -0.267   0.006  -0.007   0.013   0.253   0.002  -0.050   0.000   0.137
 4.24  -0.253   0.002  -0.004   0.009   0.259   0.002  -0.034   0.017   0.116
 4.23  -0.260   0.002   0.018   0.009   0.259   0.003   0.138   0.052  -0.125
 4.22  -0.243   0.003   0.002   0.004   0.259   0.003   0.017  -0.035   0.045
 4.21  -0.285   0.002   0.013   0.011   0.271   0.002   0.107   0.036  -0.076
 4.20  -0.242   0.000   0.009   0.011   0.259   0.002   0.071  -0.035  -0.030
 4.19  -0.243   0.003  -0.011   0.020   0.263   0.003  -0.088   0.018   0.197
 4.18  -0.260   0.003   0.007   0.016   0.267   0.002   0.052  -0.018  -0.002
 4.17  -0.290   0.008   0.018   0.011   0.261   0.002   0.137   0.070  -0.124
 4.16  -0.310   0.003   0.000   0.004   0.265   0.002   0.000   0.053   0.071
 4.15  -0.209   0.001  -0.009  -0.004   0.267   0.002  -0.072   0.018   0.176
 4.14  -0.229   0.005   0.000   0.007   0.268   0.001   0.000  -0.107   0.074
 4.13  -0.280   0.001  -0.004  -0.004   0.259   0.002  -0.035  -0.017   0.120
 4.12  -0.297   0.004   0.004   0.009   0.267   0.002   0.036   0.160   0.024
 4.11  -0.275   0.002   0.004   0.022   0.268   0.003   0.036   0.054   0.024
 4.10  -0.284   0.005   0.007   0.018   0.267   0.002   0.053   0.036  -0.002
 4.09  -0.279   0.003  -0.002   0.013   0.275   0.001  -0.018   0.110   0.103
 4.08  -0.363   0.007  -0.011   0.000   0.273   0.003  -0.090   0.073   0.204
 4.07  -0.253   0.001   0.004   0.013   0.273   0.002   0.038   0.127   0.026
 4.06  -0.235   0.003  -0.016   0.009   0.277   0.002  -0.130  -0.074   0.263
 4.05  -0.256   0.009   0.002   0.016   0.273   0.001   0.019  -0.055   0.051
 4.04  -0.269   0.002   0.007   0.013   0.275   0.001   0.055   0.073  -0.001
 4.03  -0.272   0.004  -0.013   0.009   0.268   0.002  -0.112  -0.018   0.234
 4.02  -0.252   0.003   0.002   0.013   0.278   0.001   0.019  -0.074   0.052
 4.01  -0.318   0.005   0.004   0.016   0.282   0.002   0.038   0.038   0.029
 4.00  -0.247   0.005  -0.004   0.004   0.272   0.002  -0.037  -0.091   0.132
 3.99  -0.292   0.003  -0.004   0.013   0.285   0.002  -0.037  -0.133   0.133
 3.98  -0.322   0.001  -0.007  -0.000   0.284   0.002  -0.056  -0.076   0.162
 3.97  -0.261   0.000   0.007   0.005   0.283   0.002   0.056  -0.075   0.002
 3.96  -0.346   0.004   0.004   0.013   0.284   0.003   0.039  -0.133   0.030
 3.95  -0.294   0.005   0.007   0.011   0.282   0.002   0.057   0.094   0.002
 3.94  -0.285   0.004   0.009   0.011   0.287   0.002   0.075   0.038  -0.023
 3.93  -0.252   0.004  -0.004   0.002   0.276   0.002  -0.039   0.000   0.137
