#  T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
  5.00  -0.214   0.001  -0.000   0.003   0.212   0.001  -0.004  -0.025   0.051  
  5.00  -0.203   0.000  -0.001   0.003   0.217   0.000  -0.013   0.013   0.066  
  4.99  -0.209   0.000  -0.001   0.002   0.212   0.000  -0.021   0.008   0.076  
  4.99  -0.221   0.000   0.001   0.001   0.216   0.001   0.013  -0.017   0.029  
  4.98  -0.222   0.001  -0.001   0.002   0.216   0.000  -0.022  -0.013   0.078  
  4.98  -0.207   0.000  -0.000   0.003   0.214   0.001  -0.009  -0.038   0.059  
  4.97  -0.207   0.000   0.001   0.002   0.218   0.000   0.021   0.000   0.017  
  4.97  -0.223   0.001   0.002   0.002   0.217   0.001   0.035   0.013  -0.002  
  4.96  -0.218   0.000   0.000   0.001   0.214   0.001   0.004  -0.017   0.040  
  4.96  -0.227   0.001  -0.001   0.002   0.219   0.000  -0.026   0.004   0.084  
  4.95  -0.227   0.001   0.000   0.002   0.219   0.001   0.009  -0.026   0.036  
  4.95  -0.213   0.000   0.000   0.002   0.214   0.000   0.004   0.004   0.041  
  4.94  -0.212   0.000  -0.001   0.003   0.217   0.000  -0.026   0.000   0.085  
  4.94  -0.229   0.001   0.002   0.002   0.215   0.001   0.043   0.034  -0.014  
  4.93  -0.218   0.000  -0.000   0.002   0.219   0.001  -0.009   0.026   0.060  
  4.93  -0.218   0.001   0.001   0.002   0.215   0.001   0.013  -0.009   0.029  
  4.92  -0.220   0.000   0.001   0.003   0.217   0.000   0.013   0.052   0.029  
  4.92  -0.219   0.001  -0.001   0.001   0.219   0.000  -0.022   0.013   0.080  
  4.91  -0.210   0.000  -0.000   0.001   0.219   0.001  -0.009   0.039   0.060  
  4.91  -0.207   0.000   0.000   0.004   0.219   0.000   0.009   0.000   0.036  
  4.90  -0.227   0.001   0.002   0.001   0.215   0.000   0.035   0.030  -0.002  
  4.90  -0.218   0.001  -0.001   0.001   0.221   0.000  -0.026   0.004   0.086  
  4.89  -0.200   0.000  -0.000   0.001   0.218   0.001  -0.009  -0.031   0.061  
  4.89  -0.227   0.000  -0.000   0.002   0.220   0.000  -0.004  -0.004   0.054  
  4.88  -0.209   0.000  -0.002   0.003   0.218   0.000  -0.053  -0.035   0.124  
  4.88  -0.219   0.002  -0.001   0.003   0.225   0.000  -0.018   0.027   0.075  
  4.87  -0.218   0.002  -0.002   0.003   0.222   0.001  -0.049  -0.044   0.119  
  4.87  -0.221   0.003  -0.002   0.003   0.220   0.000  -0.054   0.009   0.125  
  4.86  -0.229   0.001  -0.001   0.002   0.219   0.000  -0.027  -0.044   0.086  
  4.86  -0.220   0.000   0.000   0.003   0.218   0.000   0.000   0.017   0.048  
  4.85  -0.230   0.000   0.002   0.001   0.222   0.000   0.040  -0.022  -0.007  
  4.85  -0.235   0.001   0.000   0.002   0.223   0.001   0.000   0.027   0.050  
  4.84  -0.222   0.002   0.000   0.000   0.222   0.001   0.009  -0.027   0.037  
  4.84  -0.217   0.001   0.001   0.001   0.224   0.000   0.026   0.027   0.012  
  4.83  -0.220   0.001   0.000   0.002   0.226   0.001   0.000   0.041   0.051  
  4.83  -0.225   0.001   0.002   0.002   0.227   0.000   0.046   0.005  -0.012  
  4.82  -0.222   0.000  -0.001   0.000   0.222   0.000  -0.013   0.004   0.068  
  4.82  -0.214   0.001  -0.000   0.000   0.224   0.001  -0.004  -0.040   0.057  
  4.81  -0.228   0.001  -0.001   0.003   0.229   0.001  -0.027   0.009   0.090  
  4.81  -0.225   0.001  -0.002   0.001   0.228   0.001  -0.036   0.027   0.102  
  4.80  -0.236   0.000  -0.001   0.001   0.227   0.001  -0.031  -0.014   0.096  
  4.80  -0.237   0.000   0.001   0.004   0.222   0.000   0.014   0.004   0.031  
  4.79  -0.222   0.001  -0.003   0.002   0.226   0.001  -0.067  -0.077   0.146  
  4.79  -0.230   0.001   0.001   0.003   0.223   0.000   0.018   0.022   0.025  
  4.78  -0.222   0.001   0.001   0.002   0.225   0.000   0.032   0.023   0.007  
  4.78  -0.231   0.001  -0.001   0.002   0.224   0.001  -0.022   0.022   0.083  
  4.77  -0.234   0.000   0.001   0.002   0.224   0.000   0.022  -0.022   0.019  
  4.77  -0.227   0.000  -0.001   0.001   0.228   0.000  -0.022  -0.014   0.083  
  4.76  -0.223   0.001  -0.001   0.004   0.228   0.000  -0.023   0.018   0.085  
  4.76  -0.227   0.001   0.001   0.002   0.224   0.000   0.014   0.004   0.032  
  4.75  -0.234   0.001   0.000   0.001   0.223   0.000   0.009  -0.004   0.038  
  4.75  -0.235   0.001  -0.001   0.002   0.228   0.001  -0.028  -0.050   0.092  
  4.74  -0.243   0.002  -0.001   0.000   0.230   0.001  -0.028  -0.009   0.093  
  4.74  -0.233   0.001   0.000   0.002   0.231   0.000   0.005  -0.014   0.046  
  4.73  -0.204   0.000   0.002   0.003   0.235   0.001   0.037  -0.005   0.003  
  4.73  -0.229   0.001   0.001   0.003   0.227   0.001   0.019   0.055   0.027  
  4.72  -0.230   0.001   0.001   0.002   0.228   0.001   0.014   0.027   0.033  
  4.72  -0.224   0.000  -0.001   0.002   0.230   0.000  -0.018  -0.023   0.078  
  4.71  -0.249   0.000   0.001   0.001   0.230   0.001   0.027  -0.028   0.014  
  4.71  -0.250   0.000  -0.000  -0.000   0.236   0.001  -0.009   0.024   0.068  
  4.70  -0.226   0.000   0.001   0.003   0.232   0.001   0.018  -0.019   0.028  
  4.70  -0.231   0.001   0.001   0.002   0.231   0.000   0.032   0.005   0.008  
