#   n   1/n    <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ----  ------  -----    -----   -----   -----   -----   -----  ------   -----
  2    0.500   0.150   0.628   0.018   0.216   0.403   0.095   0.014   0.026   0.250
  3    0.333  -0.411   0.464  -0.333  -0.074   0.274   0.044  -0.273   0.091   0.505
  4    0.250  -0.417   0.344   0.250  -0.188   0.239   0.017   0.206  -0.239  -0.225
  5    0.200   0.081   0.272   0.200   0.160   0.234   0.004   0.226   0.234  -0.262
  6    0.167  -0.197   0.229   0.111   0.154   0.209   0.010   0.146   0.139  -0.151
  7    0.143  -0.466   0.193  -0.020  -0.059   0.216   0.007  -0.030   0.154   0.094
  8    0.125   0.016   0.163   0.062   0.004   0.214   0.001   0.106  -0.107  -0.104
  9    0.111  -0.164   0.149  -0.037  -0.015   0.208   0.007  -0.066  -0.115   0.142
  10    0.100  -0.147   0.136  -0.020   0.040   0.208   0.003  -0.044   0.000   0.112
  11    0.091  -0.390   0.128  -0.025   0.041   0.219  -0.000  -0.063  -0.020   0.139
  12    0.083  -0.319   0.116   0.014   0.042   0.215   0.002   0.034   0.000  -0.002
  13    0.077  -0.139   0.105  -0.006   0.030   0.213   0.006  -0.016  -0.016   0.073
  14    0.071  -0.201   0.097  -0.010   0.010   0.221   0.006  -0.031   0.032   0.097
  15    0.067  -0.181   0.090  -0.004   0.004   0.215   0.002  -0.014  -0.100   0.068
  16    0.062  -0.179   0.087   0.023   0.023   0.210   0.004   0.080   0.053  -0.064
  17    0.059  -0.257   0.076  -0.010   0.017   0.214   0.001  -0.038  -0.038   0.100
  18    0.056  -0.157   0.074  -0.006   0.012   0.211   0.002  -0.024  -0.047   0.080
  19    0.053  -0.248   0.069  -0.003   0.003   0.213   0.002  -0.012   0.011   0.065
  20    0.050  -0.192   0.068   0.010   0.025   0.216   0.001   0.044  -0.065  -0.013
  21    0.048  -0.233   0.063  -0.002   0.025   0.213   0.003  -0.010   0.010   0.064
  22    0.045  -0.121   0.061   0.004   0.021   0.217   0.002   0.019   0.020   0.020
  23    0.043  -0.246   0.059  -0.002  -0.006   0.210   0.001  -0.010   0.046   0.062
  24    0.042  -0.160   0.055   0.010   0.010   0.216   0.002   0.054  -0.036  -0.027
  25    0.040  -0.272   0.055   0.002   0.014   0.221   0.001   0.009   0.044   0.036
  26    0.038  -0.280   0.051  -0.003  -0.006   0.209   0.001  -0.016  -0.064   0.069
  27    0.037  -0.216   0.049   0.010   0.010   0.217   0.001   0.054  -0.008  -0.030
  28    0.036  -0.214   0.048  -0.013   0.013   0.219   0.001  -0.078  -0.031   0.158
  29    0.034  -0.187   0.046  -0.004   0.013   0.218   0.001  -0.022  -0.008   0.078
  30    0.033  -0.265   0.046   0.004   0.009   0.212   0.001   0.029   0.042   0.006
  31    0.032  -0.173   0.042  -0.003   0.005   0.220   0.001  -0.021   0.078   0.078
