# i = 25	j = 6
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.427  0.000  -0.333  0.259  -0.346
 4.95  -0.432  0.004  -0.333  -0.185  0.247
 4.90  -0.437  0.001  0.333  0.111  -0.074
 4.85  -0.442  0.003  0.111  -0.185  0.165
 4.80  -0.452  0.001  -0.037  0.111  -0.115
 4.75  -0.453  0.002  -0.185  0.037  -0.044
 4.70  -0.459  0.002  -0.037  -0.185  0.192
 4.65  -0.465  0.002  0.259  -0.185  0.137
 4.60  -0.473  0.001  0.185  -0.037  0.030
 4.55  -0.480  0.000  -0.481  0.111  -0.165
 4.50  -0.484  0.000  -0.111  -0.333  0.370
 4.45  -0.491  0.002  -0.185  -0.556  0.658
 4.40  -0.497  0.003  0.407  -0.185  0.110
 4.35  -0.500  0.004  0.333  -0.259  0.173
 4.30  -0.512  0.001  -0.111  -0.185  0.206
 4.25  -0.518  0.002  0.037  0.111  -0.107
 4.20  -0.525  0.001  -0.185  -0.111  0.132
 4.15  -0.532  0.004  -0.037  -0.259  0.269
 4.10  -0.540  0.005  -0.333  -0.037  0.049
 4.05  -0.548  0.003  0.333  0.037  -0.025
 4.00  -0.557  0.004  -0.185  -0.037  0.044
 3.95  -0.565  0.005  -0.333  0.333  -0.444
 3.90  -0.579  0.003  0.037  0.185  -0.178
 3.85  -0.584  0.007  0.185  0.407  -0.332
 3.80  -0.592  0.002  -0.111  0.185  -0.206
 3.75  -0.603  0.017  -0.037  -0.111  0.115
 3.70  -0.612  0.004  -0.111  -0.185  0.206
 3.65  -0.627  0.012  -0.407  -0.185  0.261
 3.60  -0.638  0.000  -0.037  -0.037  0.038
 3.55  -0.651  0.011  -0.333  -0.037  0.049
 3.50  -0.664  0.009  -0.037  0.037  -0.038
 3.45  -0.676  0.010  0.037  -0.037  0.036
 3.40  -0.685  0.000  -0.037  -0.111  0.115
 3.35  -0.698  0.005  -0.037  -0.111  0.115
 3.30  -0.717  0.004  -0.037  -0.111  0.115
 3.25  -0.732  0.002  -0.630  0.185  -0.302
 3.20  -0.746  0.012  0.630  -0.037  0.014
 3.15  -0.766  0.007  -0.037  0.333  -0.346
 3.10  -0.777  0.005  -0.111  -0.259  0.288
 3.05  -0.798  0.006  -0.333  -0.111  0.148
 3.00  -0.821  0.010  -0.259  0.037  -0.047
 2.95  -0.837  0.006  0.259  0.185  -0.137
 2.90  -0.858  0.014  -0.926  0.556  -1.070
 2.85  -0.886  0.017  0.407  0.185  -0.110
 2.80  -0.908  0.014  -0.259  0.259  -0.326
 2.75  -0.936  0.030  -0.556  0.037  -0.058
 2.70  -0.966  0.030  0.333  0.259  -0.173
 2.65  -0.998  0.016  -0.259  -0.185  0.233
 2.60  -1.024  0.015  -0.481  0.185  -0.274
 2.55  -1.065  0.043  -0.481  -0.259  0.384
 2.50  -1.095  0.057  0.407  0.333  -0.198
 2.45  -1.176  0.292  0.037  0.111  -0.107
 2.40  -1.190  0.151  -0.630  0.185  -0.302
 2.35  -1.280  0.129  0.556  0.407  -0.181
 2.30  -1.402  0.654  0.778  0.407  -0.091
 2.25  -1.479  0.736  0.926  0.778  -0.058
 2.20  -1.568  0.818  1.000  0.852  0.000
 2.15  -1.611  0.842  0.926  0.778  -0.058
 2.10  -1.665  0.871  1.000  0.481  0.000
 2.05  -1.707  0.893  0.852  0.926  -0.137
 2.00  -1.748  0.914  0.926  0.926  -0.069
 1.95  -1.780  0.926  1.000  0.926  0.000
 1.90  -1.809  0.938  0.926  0.852  -0.063
 1.85  -1.834  0.947  0.926  0.778  -0.058
 1.80  -1.858  0.957  0.926  0.926  -0.069
 1.75  -1.879  0.964  0.852  0.852  -0.126
 1.70  -1.899  0.971  1.000  1.000  0.000
 1.65  -1.915  0.976  0.926  0.926  -0.069
 1.60  -1.929  0.980  1.000  0.926  0.000
 1.55  -1.940  0.983  1.000  0.926  0.000
 1.50  -1.949  0.986  1.000  1.000  0.000
 1.45  -1.962  0.990  1.000  1.000  0.000
 1.40  -1.969  0.992  0.926  0.926  -0.069
 1.35  -1.975  0.993  0.926  0.926  -0.069
 1.30  -1.979  0.995  1.000  1.000  0.000
 1.25  -1.986  0.996  1.000  1.000  0.000
 1.20  -1.988  0.997  1.000  1.000  0.000
 1.15  -1.992  0.998  1.000  1.000  0.000
 1.10  -1.994  0.998  1.000  1.000  0.000
 1.05  -1.996  0.999  1.000  1.000  0.000
 1.00  -1.998  0.999  1.000  1.000  0.000
 0.95  -1.998  1.000  1.000  1.000  0.000
 0.90  -1.999  1.000  1.000  1.000  0.000
 0.85  -1.999  1.000  1.000  1.000  0.000
 0.80  -2.000  1.000  1.000  1.000  0.000
 0.75  -2.000  1.000  1.000  1.000  0.000
 0.70  -2.000  1.000  1.000  1.000  0.000
 0.65  -2.000  1.000  1.000  1.000  0.000
 0.60  -2.000  1.000  1.000  1.000  0.000
 0.55  -2.000  1.000  1.000  1.000  0.000
 0.50  -2.000  1.000  1.000  1.000  0.000
